Item,Occurences,Present In
JARID2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
JMJD8,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KANK2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KAT2B,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KAT6B,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
KCTD13,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
KCTD2,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
KDELR1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KDM6A,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KIF1C,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
KIFC3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KIZ,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KLF16,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KLF2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KLF4,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
KLHL12,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
KLHL29,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
KLHL3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KNTC1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
KRT8,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
KRTAP2-3,5,GSE38265; GSE69626; GSE239446; GSE113253; GSE252276
LAMA4,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
LARP1,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
LCOR,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
LIMA1,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
LIMS1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
LONRF2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
LOX,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
LOXL4,5,GSE69626; GSE239446; GSE164425; GSE113253; GSE252276
LPCAT1,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
LPGAT1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
LRRC20,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
LRRC8A,5,GSE38265; GSE164425; GSE113253; GSE252276; GSE139273
LRRC8B,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
LTBP2,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
LTBR,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
LYN,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
MALT1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
MAN2A1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
MAP1A,5,GSE38265; GSE164425; GSE113253; GSE252276; GSE139273
MAP2K3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
