Gene	BJ(Fibroblast)	BJ-OKS-iM#2	BJ-OKS-iM#21	BJ-OKS-iG#2	BJ-OKS-iG#5	HUES9
FAAH	5	3	14	8	5	13
FAAH2	4.372457075	15.91249306	17.40317512	9.544643763	3.111111111	7.722385465
FABP1	0	0	0	0	0	0
FABP12	0	0	0	0	0	0
FABP2	19.9189375	7.556904172	12.62801134	7.283831908	6.680516651	5.563789683
FABP3	2	1	1	2	0	2
FABP4	3	0	1	0	0	0
FABP5	41.5	213	210	140	77.5	127
FABP5L3	3.5	7	7	6	2.5	4
FABP6	0	4	3	1	3	8
FABP7	0	0	3	0	0	0
FABP9	0	0	0	0	0	0
FADD	35	26	16	9	9	18
FADS1	257.0493882	189.7924173	206.0350315	166.694415	114.751787	158.9858674
FADS2	1029	498	679	500	309	502
FADS3	89.25168766	25.98972831	30.39487676	18.85400634	19.01148304	12.6484875
FADS6	6.470950188	3.464585262	4.365310662	5.388676229	3.100028325	2.510767839
FAF1	72.51176527	58.91059706	64.62724504	45.98453893	30.86065429	46.31099817
FAF2	35	20	16	20	10	10
FAH	8	3	4	7	1	6
FAHD1	110.9684328	42.72961054	43.32539144	36.73231239	31.17297913	37.61323482
FAHD2A	33.625	23.5	14.5	9.5	11.5	16.5
FAHD2B	32.9	22.41212121	15.3798419	8.166666667	11	18.26666667
FAIM	43.06944445	16.28333333	14.43333333	12.05952381	5.916666667	9.254761905
FAIM2	4	0	0	0	0	1
FAIM3	181.8342893	194.412725	289.7937326	179.3081715	159.2642204	157.0110983
FAM100A	34	26.33333333	29.5	16.06666667	8.5	18
FAM100B	19	7	10	4	8	4
FAM101A	7	10	6	3	6	5
FAM101B	154.4242424	56.01969697	32.03333333	59.87878788	21	42.55
FAM102A	17	7	11	7	6	8
FAM102B	6.334859584	6.476190476	4.666666667	2.333333333	1.403846154	1.111111111
FAM103A1	246.6027847	185.1322148	232.3937338	188.9197675	112.3226003	137.4852806
FAM104A	38.95	24.86666666	32.33333333	13.5	12.41666667	17.09848485
